z_minScore,z_maxScore,z_cluster,row_id,title_unfiltered,title_filtered,binder,wrapper,filler,size,country,length_fraction,length_float,ring_gauge,strength,rating,extract_vitola,extract_seed,extract_color,extract_region,extract_brand,extract_line,extract_size
0.9807275099566922,0.9999981254576294,14,14,joya de nicaragua antano 1970 robusto grande,joya de nicaragua antano 1970,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,5 1/2,5.5,52,medium-full,90,"","","","",joya de nicaragua,antano 1970,robusto grande
0.9999981254576294,0.9999981254576294,16,16,joya de nicaragua antano 1970 lancero,joya de nicaragua antano 1970,nicaraguan,nicaraguan,nicaraguan,panetela,nicaraguan,7 1/2,7.5,38,medium-full,87,"","","","",joya de nicaragua,antano 1970,lancero
0.9999981254576294,0.9999981254576294,17,17,joya de nicaragua antano 1970 big bull,joya de nicaragua antano 1970 big bull,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,7,7,60,medium,86,"","","","",joya de nicaragua,antano 1970,big bull
"","",18,18,la gloria cubana medio tiempo toro,la gloria cubana medio tiempo,united states/connecticut broadleaf,ecuadorian,"dominican republic, honduran, nicaraguan, united states/connecticut habano",toro,dominican republic,6 1/8,6.13,50,medium-full,85,"","","","",la gloria cubana,medio tiempo,toro
0.9631421711441213,0.9801918045592704,24,24,pichardo reserva familiar san andres corona gorda,pichardo reserva familiar san andres,nicaraguan,mexico,nicaraguan,toro,nicaraguan,5 5/8,5.63,46,full,88,"","","",san andres,pichardo,reserva familiar,san andres corona gorda
"","",27,27,nat cicco 1965 aniversario liga no. 4 corona,nat cicco 1965 aniversario liga no. 4,nicaraguan,ecuadorian,nicaraguan,toro,nicaraguan,5 1/2,5.5,46,medium,87,"","","","",nat cicco,1965 aniversario liga no. 4,corona
0.9999981254576294,0.9999981254576294,35,35,romeo y julieta cedros de luxe,romeo y julieta cedros de luxe,cuba,cuba,cuba,toro,cuba,5 1/2,5.5,50,medium-full,93,"","","","",romeo y julieta,cedros,de luxe
0.9999981254576294,0.9999981254576294,38,38,oliva serie v melanio maduro churchill,oliva  v melanio maduro,nicaraguan,mexico,nicaraguan,churchill,nicaraguan,7,7,50,medium,95,"","",maduro,"",oliva,serie v melanio maduro,churchill
0.9999981254576294,0.9999981254576294,44,44,montecristo no. 4,montecristo no. 4,cuba,cuba,cuba,petit corona,cuba,5 1/8,5.13,42,medium,91,"","","","",montecristo,no.,4
"","",46,46,leaf by oscar connecticut sixty,leaf by oscar connecticut sixty,honduran,honduran,honduran,grande,honduran,6,6,60,mild-medium,85,"",connecticut,"","",leaf by oscar,connecticut,sixty
0.9889108514479904,0.9999981254576294,50,50,cohiba siglo iv,cohiba siglo iv,cuba,cuba,cuba,toro,cuba,5 5/8,5.63,46,medium,92,"","","","",cohiba,siglo,iv
"","",55,55,psyko seven connecticut toro,psyko seven connecticut,dominican republic,ecuadorian,"dominican republic, nicaraguan",toro,dominican republic,6,6,48,mild-medium,89,"",connecticut,"","",psyko seven,connecticut,toro
0.9999981254576294,0.9999981254576294,57,57,kristoff connecticut churchill,kristoff connecticut,nicaraguan,ecuadorian,dominican republic,churchill,dominican republic,7,7,50,mild-medium,88,"",connecticut,"","",kristoff,connecticut,churchill
0.9999981254576294,0.9999981254576294,60,60,charter oak habano lonsdale,charter oak habano,nicaraguan,ecuadorian,nicaraguan,toro,nicaraguan,6 1/4,6.25,46,medium,92,"",habano,"","","","",""
0.9999981254576294,0.9999981254576294,63,63,padilla 88 aniversario robusto,padilla 88 aniversario,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,5,5,52,medium-full,93,"","","","",padilla,88 aniversario,robusto
0.9999981254576294,0.9999981254576294,64,64,cohiba serie m toro,cohiba  m,nicaraguan,nicaraguan,"dominican republic, nicaraguan",toro,united states,6,6,52,medium-full,91,"","","","",cohiba,"",""
0.9999934171745454,0.9999999700174519,72,72,h. upmann by aj fernandez churchill,h. upmann by aj fernandez,nicaraguan,ecuadorian,"dominican republic, nicaraguan",churchill,nicaraguan,7,7,54,medium-full,89,"","","","",h. upmann,by aj fernandez,churchill
"","",79,79,new wave connecticut el decano,new wave connecticut el decano,nicaraguan,ecuadorian,nicaraguan,grande,dominican republic,6,6,60,medium,88,"",connecticut,"","","","",""
0.0,0.9999934171745454,82,82,undercrown shade belicoso,undercrown shade belicoso,ecuadorian,ecuadorian,"dominican republic, nicaraguan",figurado,nicaraguan,6,6,52,mild-medium,88,belicoso,shade,"","",undercrown,shade,belicoso
0.9999981254576294,0.9999981254576294,83,83,arturo fuente rare pink vintage 1960’s series short story,arturo fuente rare pink vintage 1960’s  short story,dominican republic,ecuadorian,"dominican republic, nicaraguan",figurado,dominican republic,4,4,49,medium-full,93,"","","","",arturo fuente,rare pink vintage 1960’s series,short story
"","",84,84,e.p. carrillo short run retro 2021 long play,e.p. carrillo short run retro 2021 long play,nicaraguan,ecuadorian,"dominican republic, nicaraguan",grande,dominican republic,6,6,60,medium-full,86,"","","","",e.p. carrillo,short run retro 2021,long play
0.9999981254576294,0.9999981254576294,87,87,casa magna colorado churchill,casa magna colorado,nicaraguan,nicaraguan,nicaraguan,churchill,nicaraguan,6 7/8,6.88,49,medium-full,91,"","",colorado,"",casa magna,colorado,churchill
0.9999981254576294,0.9999981254576294,89,89,por larranaga galanes,por larranaga galanes,cuba,cuba,cuba,robusto,cuba,4 3/4,4.75,52,medium,92,"","","","",por larranaga,"",""
"","",94,94,serino heritage taino hamaca,serino heritage taino hamaca,dominican republic,ecuadorian,"dominican republic, nicaraguan",robusto,dominican republic,5 1/8,5.13,50,medium-full,89,"","","","",serino,heritage taino,hamaca
0.0,0.8716526090267924,100,100,aladino cameroon elegante,aladino cameroon elegante,honduran,honduran,honduran,panetela,honduran,7,7,38,medium,90,"",cameroon,"","",aladino,cameroon,elegante
0.0,0.9999792361077949,104,104,aladino habano vintage selection toro,aladino habano vintage selection,honduran,honduran,honduran,toro,honduran,6,6,50,medium,90,"",habano,"","",aladino,habano vintage selection,toro
"","",115,115,southern draw manzanita robusto,southern draw manzanita,nicaraguan,nicaraguan,nicaraguan,robusto,nicaraguan,5 1/2,5.5,54,medium-full,89,"","","","",southern draw,manzanita,robusto
0.9999981254576294,0.9999981254576294,118,118,my father le bijou 1922 toro,my father le bijou 1922,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,6,6,52,medium-full,90,"","","","",my father,le bijou 1922,toro
0.9939778362140521,0.9999981254576294,0,125,rocky patel winter collection corona,rocky patel winter collection,nicaraguan,mexico,"honduran, nicaraguan",corona,nicaraguan,5 1/2,5.5,42,full,90,"","","","",rocky patel,winter collection,corona
0.9999981254576294,0.9999981254576294,128,128,punch punch 48,punch punch 48,cuba,cuba,cuba,toro,cuba,5 1/2,5.5,48,medium,86,"","","","",punch,"",""
0.9999981254576294,0.9999981254576294,130,130,e.p. carrillo encore el primero,e.p. carrillo encore el primero,nicaraguan,nicaraguan,nicaraguan,churchill,dominican republic,6 7/8,6.88,54,medium,90,"","","","",e.p. carrillo,encore,el primero
0.9999981254576294,0.9999981254576294,132,132,la flor dominicana air bender guerrero,la flor dominicana air bender guerrero,dominican republic,ecuadorian,dominican republic,toro,dominican republic,6 1/4,6.25,54,medium-full,87,"","","","",la flor dominicana,air bender,guerrero
0.5145552382732594,0.5145552382732594,136,136,rocky patel winter collection toro,rocky patel winter collection,nicaraguan,mexico,"honduran, nicaraguan",toro,nicaraguan,6 1/2,6.5,52,medium-full,89,"","","","",rocky patel,winter collection,toro
0.9999981254576294,0.9999981254576294,122,137,new world connecticut churchill,new world connecticut,mexico,united states/connecticut shade,"brazilian, nicaraguan",churchill,nicaraguan,7,7,50,medium,88,"",connecticut,"","","","",""
0.9999981254576294,0.9999981254576294,140,140,h. upmann connossieur no. 2,h. upmann connossieur no. 2,cuba,cuba,cuba,robusto,cuba,5 1/4,5.25,51,medium,91,"","","","",h. upmann,connossieur,no. 2
