z_minScore,z_maxScore,z_cluster,row_id,title_unfiltered,title_filtered,binder,wrapper,filler,size,country,length_fraction,length_float,ring_gauge,strength,rating,extract_vitola,extract_seed,extract_color,extract_region,extract_brand,extract_line,extract_size
0.9999981254576294,0.9999981254576294,73,109,saint luis rey carenas magnum,saint luis rey carenas magnum,honduran,nicaraguan,honduran,grande,honduran,6,6,60,medium-full,89,"","","","",saint luis rey,carenas,magnum
0.9999981254576294,0.9999981254576294,7,111,l’atelier selection speciale lat 52 special,l’atelier selection speciale lat 52 special,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,4 3/4,4.75,52,full,90,"","","","","","",""
"","",112,112,l’atelier selection speciale lat 56 special,l’atelier selection speciale lat 56 special,nicaraguan,ecuadorian,nicaraguan,toro,nicaraguan,6 1/2,6.5,56,medium-full,87,"","","","","","",""
0.9999981254576294,0.9999981254576294,89,113,por larranaga galanes,por larranaga galanes,cuba,cuba,cuba,robusto,cuba,4 3/4,4.75,52,medium,92,"","","","",por larranaga,"",""
"","",114,114,southern draw manzanita gordo,southern draw manzanita,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,6 1/2,6.5,60,mild-medium,87,"","","","",southern draw,manzanita,gordo
"","",116,116,southern draw manzanita toro,southern draw manzanita,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,6,6,52,medium,88,"","","","",southern draw,manzanita,toro
"","",123,123,rocky patel winter collection sixty,rocky patel winter collection sixty,nicaraguan,mexico,"honduran, nicaraguan",grande,nicaraguan,6 1/2,6.5,60,medium-full,88,"","","","",rocky patel,winter collection,sixty
"","",124,124,rocky patel winter collection robusto,rocky patel winter collection,nicaraguan,mexico,"honduran, nicaraguan",toro,nicaraguan,5 1/2,5.5,50,medium-full,90,"","","","",rocky patel,winter collection,robusto
0.9807275099566922,0.9999981254576294,126,126,la flor dominicana air bender valiente,la flor dominicana air bender valiente,dominican republic,ecuadorian,dominican republic,grande,dominican republic,6 1/4,6.25,60,medium-full,88,"","","","",la flor dominicana,air bender,valiente
0.0,0.9978402837315171,127,127,7-20-4 factory 57 churchill,7-20-4 factory 57,costa rica,nicaraguan,"colombia, honduran, nicaraguan",churchill,honduran,7,7,48,medium,87,"","","","","","",""
0.9999908498086989,0.9999981254576294,5,131,la flor dominicana air bender chisel,la flor dominicana air bender chisel,dominican republic,ecuadorian,dominican republic,figurado,dominican republic,6 1/2,6.5,54,full,92,"","","","",la flor dominicana,air bender,chisel
0.9889108514479904,0.9999981254576294,133,133,la flor dominicana air bender poderoso,la flor dominicana air bender poderoso,dominican republic,ecuadorian,dominican republic,corona,dominican republic,5 1/2,5.5,44,medium,90,"","","","",la flor dominicana,air bender,poderoso
0.9999981254576294,0.9999981254576294,134,134,la flor dominicana air bender maestro,la flor dominicana air bender maestro,dominican republic,ecuadorian,dominican republic,toro,dominican republic,5 1/2,5.5,52,medium-full,90,"","","","",la flor dominicana,air bender,maestro
0.9999894704271381,0.9999981254576294,135,135,la flor dominicana air bender matatan,la flor dominicana air bender matatan,dominican republic,ecuadorian,dominican republic,robusto,dominican republic,5,5,50,medium-full,88,"","","","",la flor dominicana,air bender,matatan
0.9999981254576294,0.9999981254576294,143,143,fonseca by my father belicoso,fonseca by my father belicoso,nicaraguan,nicaraguan,nicaraguan,figurado,nicaraguan,5 1/2,5.5,54,medium,90,belicoso,"","","",fonseca,by my father,belicoso
0.9900317719475603,0.9900317719475603,144,144,micallef connecticut robusto,micallef connecticut,nicaraguan,ecuadorian,"dominican republic, nicaraguan",robusto,nicaraguan,5,5,52,medium,89,"",connecticut,"","",micallef,"",""
0.9999981254576294,0.9999981254576294,145,145,mil dias edmundo,mil dias edmundo,nicaraguan,ecuadorian,"costa rica, nicaraguan, peru",odd,nicaraguan,5 3/8,5.38,52,medium,91,"","","","","","",""
0.9999981254576294,0.9999981254576294,146,146,601 blue label maduro torpedo,601 blue label maduro torpedo,nicaraguan,united states/connecticut broadleaf,nicaraguan,figurado,nicaraguan,6 1/8,6.13,52,full,93,torpedo,"",maduro,"",601,blue label maduro,torpedo
0.8642272723187856,0.9807275099566922,147,147,oneoff corona gorda,oneoff,nicaraguan,nicaraguan,nicaraguan,odd,nicaraguan,5 3/8,5.38,46,medium-full,92,"","","","",oneoff,"",""
0.9999981254576294,0.9999981254576294,148,148,my father the judge grand robusto,my father the judge grand,nicaraguan,ecuadorian,nicaraguan,grande,nicaraguan,5,5,60,medium-full,92,"","","","",my father,the judge,grand robusto
0.9999981254576294,0.9999981254576294,155,155,padron damaso no. 12,padron damaso no. 12,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,5,5,50,mild-medium,93,"","","","",padron,damaso no.,12
0.9999975318270776,0.9999975318270776,162,162,muwat bait fish,muwat bait fish,ecuadorian,mexico,"brazilian, nicaraguan",odd,nicaraguan,4,4,44,medium-full,89,"","","","","","",""
0.9999934171745454,0.9999934171745454,167,167,rocky patel vintage 1990 churchill,rocky patel vintage 1990,nicaraguan,honduran,"dominican republic, nicaraguan",churchill,honduran,7,7,48,medium-full,92,"","","","",rocky patel,vintage 1990,churchill
0.0,0.9999981254576294,36,179,oliva serie g figurado,oliva  g figurado,nicaraguan,cameroon,nicaraguan,figurado,nicaraguan,6 1/2,6.5,60,medium-full,88,figurado,"","","",oliva,serie g,figurado
0.9654313418721152,0.9654313418721152,181,181,neanderthal hn,neanderthal hn,united states/connecticut broadleaf,mexico,"dominican republic, nicaraguan, united states/penn. broadleaf",figurado,nicaraguan,5,5,56,full,87,"","","","","","",""
0.0,0.9999665829295583,187,187,psyko seven nicaragua gordo,psyko seven nicaragua,nicaraguan,nicaraguan,nicaraguan,grande,dominican republic,6,6,60,medium,87,"","","","",psyko seven,nicaragua,gordo
0.9999981254576294,0.9999981254576294,192,192,casa magna jalapa claro toro box press,casa magna jalapa claro  box press,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,6,6,50,medium,86,box press,"",claro,jalapa,casa magna,jalapa claro,toro box press
0.9999981254576294,0.9999981254576294,199,199,cohiba behike bhk 56,cohiba behike bhk 56,cuba,cuba,cuba,toro,cuba,6 1/2,6.5,56,medium,90,"","","","",cohiba,behike bhk,56
0.9978296560940207,0.9999981254576294,6,202,padilla 88 aniversario figurado,padilla 88 aniversario figurado,nicaraguan,ecuadorian,nicaraguan,figurado,nicaraguan,6,6,60,medium-full,90,figurado,"","","",padilla,88 aniversario,figurado
"","",211,211,villiger cuellar black forest torpedo,villiger cuellar black forest torpedo,dominican republic,mexico,dominican republic,figurado,dominican republic,6 1/4,6.25,52,medium-full,86,torpedo,"","","",villiger,cuellar black forest,torpedo
0.9999981254576294,0.9999981254576294,212,212,villiger cuellar black forest toro gordo,villiger cuellar black forest,dominican republic,mexico,dominican republic,toro,dominican republic,6,6,54,medium-full,90,"","","","",villiger,cuellar black forest,toro gordo
"","",213,213,villiger cuellar black forest robusto,villiger cuellar black forest,dominican republic,mexico,dominican republic,robusto,dominican republic,5,5,48,full,87,"","","","",villiger,cuellar black forest,robusto
0.9999981254576294,0.9999981254576294,214,214,villiger cuellar black forest churchill,villiger cuellar black forest,dominican republic,mexico,dominican republic,churchill,dominican republic,7,7,50,medium,90,"","","","",villiger,cuellar black forest,churchill
"","",220,220,davidoff winston churchill limited edition 2021 toro,davidoff winston  limited edition 2021,dominican republic,ecuadorian,"dominican republic, nicaraguan",toro,dominican republic,6,6,52,medium,87,"","","","",davidoff,winston churchill limited edition,2021 toro
0.8216263252565298,0.8216263252565298,228,228,montecristo 1935 anniversary nicaragua toro,montecristo 1935 anniversary nicaragua,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,6,6,54,full,87,"","","","",montecristo,1935 anniversary nicaragua,toro
"","",233,233,mil dias double robusto,mil dias,nicaraguan,ecuadorian,"costa rica, nicaraguan, peru",toro,nicaraguan,6 3/8,6.38,50,medium,89,"","","","","","",""
0.0,0.9999981254576294,236,236,avo classic no. 2,avo classic no. 2,dominican republic,ecuadorian,dominican republic,toro,dominican republic,6,6,50,medium,87,"","","","",avo,classic no.,2
0.9999981254576294,0.9999981254576294,238,238,arturo fuente rare pink vintage 1960’s series happy ending,arturo fuente rare pink vintage 1960’s  happy ending,dominican republic,ecuadorian,"dominican republic, nicaraguan",figurado,dominican republic,5 1/2,5.5,53,medium,93,"","","","",arturo fuente,rare pink vintage 1960’s series,happy ending
0.9999459453561136,0.9999459453561136,243,243,avo regional north,avo regional north,dominican republic,dominican republic,dominican republic,figurado,dominican republic,6 5/8,6.63,50,medium,85,"","","","",avo,regional,north
"","",244,244,the big payback connecticut gordo,the big payback connecticut,nicaraguan,ecuadorian,nicaraguan,grande,nicaraguan,6,6,60,mild,87,"",connecticut,"","","","",""
0.9999928601034833,0.9999928601034833,245,245,hamlet 2020 gordo,hamlet 2020,honduran,ecuadorian,"honduran, nicaraguan",grande,nicaraguan,6,6,60,medium-full,86,"","","","","","",""
0.9999981254576294,0.9999981254576294,249,249,montecristo double edmundo,montecristo double edmundo,cuba,cuba,cuba,toro,cuba,6 1/4,6.25,50,medium,89,"","","","",montecristo,double,edmundo
0.9999981254576294,0.9999981254576294,250,250,la galera habano perillas,la galera habano perillas,dominican republic,ecuadorian,dominican republic,panetela,dominican republic,7 1/4,7.25,38,medium-full,87,"",habano,"","",la galera,habano,perillas
0.0,0.9999981254576294,253,253,don pepin garcia original invictos,don pepin garcia original invictos,nicaraguan,nicaraguan,nicaraguan,robusto,united states,5,5,50,medium-full,89,"","","","",don pepin,garcia original,invictos
0.9999981254576294,0.9999981254576294,255,255,alec & bradley kintsugi corona gorda,alec & bradley kintsugi,"honduran, nicaraguan",honduran,"honduran, nicaraguan",toro,honduran,5 5/8,5.63,46,medium-full,91,"","","","","","",""
0.9999981254576294,0.9999981254576294,258,258,plasencia alma del campo travesia box press,plasencia alma del campo travesia box press,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,6 1/2,6.5,54,medium,89,box press,"","","",plasencia,alma del campo travesia,box press
0.9999960186439792,0.9999981254576294,264,264,padron panetela,padron panetela,nicaraguan,nicaraguan,nicaraguan,panetela,nicaraguan,6 7/8,6.88,36,medium-full,87,"","","","",padron,"",""
"","",272,272,southern draw desert rose lonsdale,southern draw desert rose,nicaraguan,ecuadorian,"honduran, dominican republic",corona,nicaraguan,6,6,44,medium,88,"","","","",southern draw,desert rose,lonsdale
0.9999981254576294,0.9999981254576294,274,274,luciano the dreamer,luciano the dreamer,nicaraguan,ecuadorian,"nicaraguan, peru",panetela,nicaraguan,7 1/2,7.5,38,medium-full,92,"","","","",luciano,"",""
0.7295037294369124,0.9999981254576294,278,278,partagas serie e no. 2,partagas serie e no. 2,cuba,cuba,cuba,toro,cuba,5 1/2,5.5,54,medium,90,"","","","",partagas,serie,e no. 2
0.941119732847489,0.941119732847489,280,280,the big payback connecticut toro,the big payback connecticut,nicaraguan,ecuadorian,nicaraguan,toro,nicaraguan,6,6,52,mild,88,"",connecticut,"","","","",""
0.9999981254576294,0.9999981254576294,281,281,cohiba esplendido,cohiba esplendido,cuba,cuba,cuba,churchill,cuba,7,7,47,medium,89,"","","","",cohiba,"",""
