z_minScore,z_maxScore,z_cluster,row_id,title_unfiltered,title_filtered,binder,wrapper,filler,size,country,length_fraction,length_float,ring_gauge,strength,rating,extract_vitola,extract_seed,extract_color,extract_region,extract_brand,extract_line,extract_size
0.9939778362140521,0.9999981254576294,0,0,rocky patel winter collection corona,rocky patel winter collection,nicaraguan,mexico,"honduran, nicaraguan",corona,nicaraguan,5 1/2,5.5,42,full,90,"","","","",rocky patel,winter collection,corona
"","",1,1,h. upmann 1844 classic robusto,h. upmann 1844 classic,honduran,ecuadorian,honduran,robusto,honduran,5,5,52,mild-medium,90,"","","","",h. upmann,1844 classic,robusto
0.9978296560940207,0.9999981254576294,6,6,padilla 88 aniversario figurado,padilla 88 aniversario figurado,nicaraguan,ecuadorian,nicaraguan,figurado,nicaraguan,6,6,60,medium-full,90,figurado,"","","",padilla,88 aniversario,figurado
"","",9,9,h. upmann 1844 classic corona,h. upmann 1844 classic,honduran,ecuadorian,honduran,odd,honduran,5,5,44,mild-medium,89,"","","","",h. upmann,1844 classic,corona
0.9999981254576294,0.9999981254576294,10,10,joya de nicaragua antano 1970 churchill,joya de nicaragua antano 1970,nicaraguan,nicaraguan,nicaraguan,churchill,nicaraguan,6 7/8,6.88,48,medium-full,88,"","","","",joya de nicaragua,antano 1970,churchill
0.9999981254576294,0.9999981254576294,11,11,h. upmann connossieur b,h. upmann connossieur b,cuba,cuba,cuba,toro,cuba,5 7/8,5.88,54,medium,89,"","","","",h. upmann,connossieur,b
"","",22,22,oliva serie v melanio maduro robusto,oliva  v melanio maduro,nicaraguan,mexico,nicaraguan,robusto,nicaraguan,5,5,52,medium-full,91,"","",maduro,"",oliva,serie v melanio maduro,robusto
0.9999981254576294,0.9999981254576294,32,32,la aroma de cuba edicion especial no. 4,la aroma de cuba edicion especial no. 4,nicaraguan,ecuadorian,nicaraguan,churchill,nicaraguan,7,7,49,medium,87,"","","","",la aroma de cuba,edicion especial no.,4
0.0,0.9999840876657424,36,36,oliva serie v melanio maduro figurado,oliva  v melanio maduro figurado,nicaraguan,mexico,nicaraguan,figurado,nicaraguan,6 1/2,6.5,52,medium-full,92,figurado,"",maduro,"",oliva,serie v melanio maduro,figurado
0.0,0.9999981254576294,36,37,oliva serie v melanio maduro torpedo,oliva  v melanio maduro torpedo,nicaraguan,mexico,nicaraguan,figurado,nicaraguan,6 1/2,6.5,52,medium,91,torpedo,"",maduro,"",oliva,serie v melanio maduro,torpedo
0.0,0.9999610533027448,40,40,undercrown maduro corona doble,undercrown maduro  doble,united states/connecticut habano,mexico,"brazilian, nicaraguan",churchill,nicaraguan,7,7,54,medium-full,89,"","",maduro,"",undercrown,maduro corona,doble
0.6896326960528399,0.9999981254576294,43,43,gran habano corojo no. 5 lunch break,gran habano corojo no. 5 lunch break,nicaraguan,nicaraguan,"costa rica, nicaraguan",petit corona,honduran,4 1/2,4.5,40,full,91,"",corojo habano,"","",gran habano,corojo no. 5,lunch break
"","",49,49,tatuaje black britanicas extra,tatuaje black britanicas extra,nicaraguan,nicaraguan,nicaraguan,figurado,nicaraguan,5 3/8,5.38,48,medium,92,"","","","",tatuaje,black,britanicas extra
"","",59,59,perdomo reserve 10th anniversary maduro robusto,perdomo reserve 10th anniversary maduro,nicaraguan,nicaraguan,nicaraguan,robusto,nicaraguan,5,5,54,full,91,"","",maduro,"",perdomo,reserve 10th anniversary maduro,robusto
0.0,0.9999981254576294,65,65,cle 25th anniversary 60x6,cle 25th anniversary 60x6,honduran,honduran,honduran,grande,honduran,6,6,60,medium,90,"","","","",cle,25th anniversary,60x6
0.9999914402988597,0.9999914402988597,66,66,punch diablo diabolus,punch diablo diabolus,united states/connecticut broadleaf,ecuadorian,"honduran, nicaraguan",robusto,nicaraguan,5 1/4,5.25,54,medium-full,91,"","","","",punch,diablo,diabolus
