z_minScore,z_maxScore,z_cluster,row_id,title_unfiltered,title_filtered,binder,wrapper,filler,size,country,length_fraction,length_float,ring_gauge,strength,rating,extract_vitola,extract_seed,extract_color,extract_region,extract_brand,extract_line,extract_size
"","",2,2,h. upmann 1844 classic toro,h. upmann 1844 classic,honduran,ecuadorian,honduran,toro,honduran,6,6,54,mild-medium,90,"","","","",h. upmann,1844 classic,toro
0.9156860496786989,0.9999981254576294,4,4,padron 1964 anniversary series monarca,padron 1964 anniversary  monarca,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,6 1/2,6.5,46,medium,93,"","","","",padron,1964 anniversary series,monarca
0.9999908498086989,0.9999981254576294,5,5,la flor dominicana air bender chisel,la flor dominicana air bender chisel,dominican republic,ecuadorian,dominican republic,figurado,dominican republic,6 1/2,6.5,54,full,92,"","","","",la flor dominicana,air bender,chisel
0.9999981254576294,0.9999981254576294,8,8,joya de nicaragua antano 1970 machito,joya de nicaragua antano 1970 machito,nicaraguan,nicaraguan,nicaraguan,petit corona,nicaraguan,4 3/4,4.75,42,medium-full,86,"","","","",joya de nicaragua,antano 1970,machito
"","",12,12,the american double robusto,the american,united states/connecticut broadleaf,united states/florida,"united states/connecticut habano, united states/pennsylvania",toro,united states,5 1/2,5.5,56,medium-full,86,"","","","","","",""
0.9531869126045043,0.9999981254576294,15,15,joya de nicaragua antano 1970 gran consul,joya de nicaragua antano 1970 gran consul,nicaraguan,nicaraguan,nicaraguan,figurado,nicaraguan,4 3/4,4.75,60,medium-full,92,"","","","",joya de nicaragua,antano 1970 gran,consul
"","",19,19,la gloria cubana medio tiempo churchill,la gloria cubana medio tiempo,united states/connecticut broadleaf,ecuadorian,"dominican republic, honduran, nicaraguan, united states/connecticut habano",churchill,dominican republic,7 1/4,7.25,54,medium-full,89,"","","","",la gloria cubana,medio tiempo,churchill
"","",23,23,camacho liberty churchill 2021,camacho liberty  2021,nicaraguan,ecuadorian,"dominican republic, honduran",churchill,honduran,7,7,48,medium-full,90,"","","","",camacho,liberty,churchill 2021
0.0,0.9801918045592704,24,25,pichardo reserva familiar habano corona gorda,pichardo reserva familiar habano,nicaraguan,ecuadorian,"dominican republic, nicaraguan",toro,nicaraguan,5 5/8,5.63,46,medium,90,"",habano,"","",pichardo,reserva familiar,habano corona gorda
0.0,0.9631421711441213,24,26,pichardo reserva familiar connecticut corona gorda,pichardo reserva familiar connecticut,nicaraguan,ecuadorian,"dominican republic, nicaraguan",toro,nicaraguan,5 5/8,5.63,46,medium,88,"",connecticut,"","",pichardo,reserva familiar connecticut,corona gorda
"","",28,28,nat cicco 1965 aniversario liga no. 4 double toro,nat cicco 1965 aniversario liga no. 4,nicaraguan,ecuadorian,nicaraguan,grande,nicaraguan,6 1/2,6.5,60,medium,87,"","","","",nat cicco,1965 aniversario liga no. 4,double toro
"","",29,29,hvc hot cake gran canon,hvc hot cake gran canon,nicaraguan,mexico,nicaraguan,grande,nicaraguan,6,6,60,medium-full,90,"","","","",hvc,hot cake,gran canon
"","",30,30,oliva serie v melanio maduro double toro,oliva  v melanio maduro,nicaraguan,mexico,nicaraguan,grande,nicaraguan,6,6,60,medium-full,91,"","",maduro,"",oliva,serie v melanio maduro,double toro
0.9999981254576294,0.9999981254576294,31,31,h. upmann regalias,h. upmann regalias,cuba,cuba,cuba,petit corona,cuba,5 1/8,5.13,42,medium-full,93,"","","","",h. upmann,"",""
"","",33,33,buenaventura pralines p 554,buenaventura pralines p 554,nicaraguan,mexico,nicaraguan,toro,nicaraguan,5 3/4,5.75,54,medium-full,90,"","","","","","",""
0.9999981254576294,0.9999981254576294,17,34,joya de nicaragua antano 1970 big bull,joya de nicaragua antano 1970 big bull,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,7,7,60,medium,86,"","","","",joya de nicaragua,antano 1970,big bull
0.9999981254576294,0.9999981254576294,42,42,vegueros tapados,vegueros tapados,cuba,cuba,cuba,robusto,cuba,4 3/4,4.75,46,medium,87,"","","","","","",""
"","",48,48,my father no. 6,my father no. 6,nicaraguan,ecuadorian,nicaraguan,grande,nicaraguan,6,6,60,medium,89,"","","","",my father,no.,6
0.9999286113510465,0.9999981254576294,54,54,davidoff grand cru no. 5,davidoff grand cru no. 5,dominican republic,ecuadorian,dominican republic,petit corona,dominican republic,4,4,41,medium,87,"","","","",davidoff,grand cru no.,5
