IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Don Jose,Aganorsa Leaf,American Stogies,American Stogies,,,ADVentura The Royal Return,Aganorsa Aniversario,Aging Room Quattro Nicaragua,ACID Ltd. by Drew Estate Def Sea,ADVentura the Navigator,Aganorsa Leaf Connecticut
Latin Quarter House of Cigars,Aganorsa Leaf,Anthology,Anthology,,,AGANORSA,Aganorsa Connecticut,Aging Room Rare Collection,AGANORSA Leaf Cigars,ADVentura The Royal Return Queen's Pearls,Aganorsa Leaf Habano
Villar y Villar,AGANORSA Leaf,Antonio y Cleopatra,Antonio y Cleopatra,,,AGING ROOM,Aganorsa Leaf Cigars,AJ Fernandez Atlantic Cigar 20th Aniversario,AGANORSA Leaf Aniversario,Aganorsa,Aganorsa Leaf Signature Maduro
Reserva Dorada,AGING ROOM,Archetype,Archetype,,,Aging Room Bin No. 2,Aganorsa Leaf Maduro,AJ Fernandez Bellas Artes,Aganorsa Leaf Connecticut,Aganorsa Leaf Aniversario Corojo,Aganorsa Leaf Signature Selection
El Mejor,Aging Room,Arganese,Arganese,,,Aging Room Core Connecticut,Aganorsa Rare Leaf Reserve,AJ Fernandez Bellas Artes Maduro,Aganorsa Leaf Signature Selection,Aganorsa Leaf Aniversario Maduro,Aganorsa Rare Leaf
Plasencia,Aging Room,Artisans,Artisans,,,Aging Room Core Habano,Aganorsa Signature Selection,AJ Fernandez Dias De Gloria,Aganorsa Signature Maduro,Aganorsa Leaf Rare Leaf Reserve,Aging Room
Cubita,Aging Room,Arturo Fuente,Arturo Fuente,,,Aging Room Core Maduro,Aganorsa Supreme Leaf,AJ Fernandez Last Call Habano,Aging Room Cigars,Aganorsa Leaf Signature Selection,Aging Room Bin No.2
Cuba's Famous Brands,Aging Room,Ashton,Ashton,,,Aging Room Pura Cepa,AJ Fernandez Cigars,AJ Fernandez Last Call Maduro,Aging Room Pura Cepa,Aganorsa Leaf Signature Selection Maduro,Aging Room By Rafael Nodal Rare Collection
Bolivar,Aging Room,Asylum,Asylum,,,Aging Room Quattro F55,AJ Fernandez Dias de Gloria,AJ Fernandez Small Batch,Aging Room Quattro Connecticut,Aganorsa Leaf Supreme Leaf,Aging Room Quattro Connecticut
Jimmy Lakey's Cigar Company,Agio Mehari,Atabey,Atabey,,,Aging Room Quattro F55,AJ Fernandez Enclave,AJ Fernandez Small Batch Prensado,Aging Room Quattro Maduro,Casa Fernandez Aganorsa Connecticut,Aging Room Quattro Maduro
