IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Roble Viejo,Henry Clay,Riata,Riata,,,montecristo classic ,INCH Limitada by E.P. Carrillo,God of Fire KKP Special Reserve,E.P. Carrillo Seleccion Oscuro,Drew Estate,Foundation Cigar Company
Brick House,Henry Clay,RICOS DOMINICANOS,RICOS DOMINICANOS,,,Montecristo Epic,INCH Maduro by E.P. Carrillo,God of Fire Serie B,Eagle Rare Gift Set,Drew Estate BOTL,Four Kicks
Ramon Allones,Herrera Esteli,RIGOLETTO,RIGOLETTO,,,Montecristo Epic Vintage 12 Blue,INCH Natural by E.P. Carrillo,GR Specials Red Label,Eiroa by Christian Eiroa,Drew Estate Larutan,Four Kicks Capa Especial by Crowned Heads
Bogey's Stogies (DR),Herrera Esteli,Roberto Duran Neya F8,Roberto Duran Neya F8,,,montecristo grand exhibition ,INCH Ring Master by E. P. Carrillo,Gran Habano 3 SLS,Eiroa CBT Maduro,Larutan (Formerly Drew Estate Natural),Fourth Prime
Big Boys (Two Guys Smoke Shop),HF BARCELONA,ROCKY PATEL,ROCKY PATEL,,,montecristo nicaragua ,Insidious by Asylum,Gran Habano Blue In Green,Eiroa Dark Natural,Drunk Chicken,Futuro by Warped Cigars
La Floridita,HIGHCLERE CASTLE,Rojas,Rojas,,,montecristo original line ,Isla del Sol,Gran Habano Connecticut #1,Eiroa Jamastran,Drunk Chicken Fat Hen,Garcia y Vega
Torres,HIRAM & SOLOMON,ROLY,ROLY,,,montecristo platinum ,J.D. Howard Reserve,Gran Habano Corojo #5,Eiroa the First 20 Years,Drunk Chicken Living The Dream,Garcia y Vega
MLB Cigar Ventures,Hiram & Solomon,ROMA CRAFT,ROMA CRAFT,same,,Nat Cicco Aniversario 1965,J&R Famous,Gran Habano Corojo #5 Maduro,Eiroa: The First 20 Years Colorado,Drunk Chicken Mother Clucker,Garcia y Vega 1882
Racine & Laramie,Hiram & Solomon,RoMa Craft Tobac,RoMa Craft Tobac,same,,Nat Cicco Elephant Ears,Jackpot,Gran Habano Gran Reserva #5 2010,El Baton,Drunk Chicken Original,Garcia y Vega Game
Crown Vintage,Honduran Factory Corojos,Romeo y Julieta,Romeo y Julieta,same RyJ,,NATIONAL,Jaime Garcia Reserva Especial,Gran Habano Gran Reserva #5 2011,El Centurion by My Father Cigars,Drunk Chicken Sweet Dreams,Garcia y Vega Game Cigarillos
Madrigal Habana,HONDURAN NUDE,Room 101,Room 101,same,,Negociant Monopole,Jamon,Gran Habano Gran Reserva #5 2012,El Duque Cognac,Dunbarton Tobacco,Garcia y Vega Game Leaf Cigarillos
Flor de Florez,Honduran Nude,Room101,Room101,same,,NEOS,Jas Sum Kral Cigars,Gran Habano Habano #3,El Gueguense,Mi Querida,General Cigar Company Accessories and Samplers
Fernandez Torrens,HOYO DE MONTERREY,Rosa Cuba,Rosa Cuba,,,NESTOR MIRANDA,Jas Sum Kral Kralot,Gran Habano La Conquista,El Mejor Espresso,Mi Querida Triqui Traca,General Cigar Freshness Pack
Cana,Hoyo de Monterrey,Rough Rider,Rough Rider,,,NEW CUBA,Jas Sum Kral Red Knight,Gran Habano Persian King,El Rey Del Mundo,Muestra de Saka,General Honduran Bundles
Daniel Marshall,Hoyo de Monterrey,Rough Rider Sweets,,,,New World by A.J. Fernandez,Jas Sum Kral Toothpick 2.0,Gran Habano Persian Queen,El Rico Habano,Sobremesa,Georges Reserve
Hatuey,Hoyo de Monterrey,Royal Agio,Royal Agio,,,NICA LIBRE,JDN Numero Uno,Gridiron Limited Edition,Epic Maduro,Sobremesa Brulee,GH2 by Gran Habano
Adrian's,Hoyo de Monterrey,Saga,Saga,,,Nica Rustica Broadleaf,Jericho Hill,Griffin's,Erin Go Bragh,StillWell Star,Gilberto Oliva Blanc
Rock-A-Feller (by International Tobacco Partners),Hoyo de Monterrey,SAINT LUIS REY,SAINT LUIS REY,,,NICARAGUAN,JFR Connecticut,Guaimaro,Erin Go Bragh Cigarillos,Todos Las Dias,Gilberto Oliva Reserva
Cornerstone,HR,Samurai,Samurai,,,NICARAGUAN,JFR Corojo,Gurkha,Erin Go Bragh St. Patrick's Day Edition,Umbagog,Gispert
LH Premium Cigars (Lavida Habana),HR,SAN CRISTOBAL,SAN CRISTOBAL,,,Nimmy D,JFR Lunatic,Gurkha 125th Anniversary,Espada by Montecristo Signature,Edition One,Good Days Factory Seconds
Jose del Valle,HUGO CASSAR,San Jeronimo,San Jeronimo,,,NINO VASQUEZ,JFR Lunatic JR 50th Anniversary,Gurkha Aged Cabinet,Espinosa Cigars,Edition One Cloud Hopper,Good Times
La Selection de Robert,HVC,San Lotano,San Lotano,,,NORDING,JFR Lunatic Loco Maduro,Gurkha Assassin,Espinosa Crema,Eiroa,Good Times #HD
Anillo de Plata,HVC,SANCHO PANZA,SANCHO PANZA,,,NUB,JFR Lunatic Torch,Gurkha Beast,Espinosa Habano,Eiroa CBT Maduro,Good Times Black
AshÃ©,HVC,SAVOY,SAVOY,,,Nub Nuance,JFR Maduro,Gurkha Beauty,Espinosa Laranja Reserva Azulejo,Eiroa Classic,Good Times Cigarillos
S. Plasencia Premium,HVC,Secret Blend of Cuba,Secret Blend of Cuba,,,OBA OBA - BY PERDOMO,JFR XT,Gurkha Blendmaster's Cask,Espinosa Laranja Reserva Escuro,Eiroa Dark Natural,Good Times Sweet Woods
Henri Wintermans,Ilegal,SEGUNDO,SEGUNDO,,,Occidental Reserve by Alec Bradley,Jose Marti,Gurkha Bourbon Collection,Espinosa Wasabi,Eiroa Jamastran,Gran Habano
GDW (Guillen Cigars),ILLUSIONE,Seleccion By JR,,,,ODYSSEY,Jose Marti Cigars,Gurkha Cask Blend,Excalibur,Eiroa PCA Exclusive,Gran Habano #1 Connecticut
Don Lino,Illusione,Serino,Serino,,,Odyssey Coffee,Jose Marti Dominican,Gurkha Cellar Reserve 12 Year Platinum,Excalibur Black,Eiroa The First 20 Years,Gran Habano #3 Habano
Cuban Stock (Crown David),Illusione,Siglo,Siglo,,,Odyssey Full,Jose Marti Honduras,Gurkha Cellar Reserve 15 Year,Excalibur Black Cigarillos,Eiroa The First 20 Years Colorado,Gran Habano #5 Corojo
Dona Flor,Illusione,Siglo Limited Reserve,Siglo Limited Reserve,,,Odyssey Sweet Tip,Joya Black,Gurkha Cellar Reserve 18 Year Edicion Especial,Excalibur Cameroon,El Credito,Gran Habano Blue In Green
Hoboken Premium,Illusione,Sin Compromiso,,,,OLIVA,Joya de Nicaragua Antano,Gurkha Cellar Reserve 21 Year,Excalibur Dark Knight,El Credito,Gran Habano GH2 Connecticut
Flor de Cielo,Illusione,Sindicato,Sindicato,,,Oliva Connecticut Reserve,Joya de Nicaragua Antano 1970 Shut The Box,Gurkha Cellar Reserve Limitada 15 Year,Factory Smokes by Drew Estate Cigarillos,El Gueguense,Gran Habano Gran Reserva #5 2010
AVO,Indian Motorcycle,SLAUGHTERHOUSE,SLAUGHTERHOUSE,,,Oliva Flor de Oliva,Joya de Nicaragua Antano Connecticut,Gurkha Chateau De Prive,Factory Throwouts,El Gueguense,Gran Habano La Conquista
Oro de Reinitas,Indian Motorcycle,Slaughterhouse Bundles,,,,Oliva Master Blends 3,Joya de Nicaragua Antano Dark Corojo,Gurkha Ghost,Felipe II Fat-Boy Extra,El Gueguense 5 Year Aniversario,Gran Habano La Gran Fuma
Havana Preferred (JM Tobacco Inc.),Inferno,Small Batch,Small Batch,,,Oliva Master Blends 3,Joya de Nicaragua Antano Gran Reserva,Gurkha Gran Reserve Cognac,Fields of Gold,The Wise Man Maduro,Grand Marnier
Sello de Oro,ISLA DEL SOL,Smoker's Choice Filtered,,,,Oliva Serie G,Joya de Nicaragua Cabinetta Serie,Gurkha Marquesa,Fighting Cock,El Reloj,Griffin's
Cigars Rolled by Cubans,Isla del Sol,Smoking Jacket,,,,Oliva Serie O,Joya Red,Gurkha Nicaragua Series,Flor de las Antillas Maduro,El Reloj,Guaimaro
T.O.P.I.C. (Tobacco Outlet Premium Cigars),ISLAND AMARETTO,Sombrero de Copa,Sombrero de Copa,,,Oliva Serie V,Joya Silver,Gurkha Pan American,Flor de Oliva Gold,El Rey Del Mundo,Guardian Of The Farm
Thurman Thomas,ISLAND COLLECTION,SOSA,SOSA,,,Oliva Serie V Maduro Especial,JR 45th Anniversary Series,Gurkha Private Select,Flor de Oliva Maduro,El Rey Del Mundo Maduro,Guardian Of The Farm Cerberus
Don Brotto,Island Jim,SOUTH BEACH FLAVORS BY NINO VASQUEZ,SOUTH BEACH FLAVORS BY NINO VASQUEZ,,,Oliva Serie V Melanio,JR 50th Anniversary Products,Gurkha Royal Challenge,Flor de San Andres Black by Rocky Patel,El Rey del Mundo NaturalNew,Guardian Of The Farm Nightwatch
Esteban Carrera,J. FUEGO,SOUTHERN DRAW,SOUTHERN DRAW,,,Oliva Serie V Melanio Maduro,JR Alternative,Gurkha Royal Reserve Cognac,Flor de San Andres by Rocky Patel,El Viejo Continente,H Upmann 1844 Anejo
Espinosa y Ortega (EO Brands),J. Fuego,Special Jamaica Reserve,Special Jamaica Reserve,,,OMAR ORTEZ ORIGINAL,JR Alternative Cigars,Gurkha Special Edition,Flor del Todo,El Viejo Continente 5 Anos,H Upmann 1844 Reserve
Humo Santo,J. London,Special Jamaicans,Special Jamaicans,,,One Night Stand,JR Alternative Mystery Bundles,Gurkha Treinta 30th Anniversary,Fonseca by My Father Cigars,El Viejo Continente Classic,H Upmann Connecticut
Cigar Pride,J.C. Newman,Stallone Cigar Company,Stallone Cigar Company,,,ONYX,JR Confidential Bundles,Gurkha Wicked Indie LE 2014,Foundation Cigar Company Cigars,El Viejo Continente Maduro,H Upmann Sun Grown
Camacho,J.C. Newman,Stolen Throne,Stolen Throne,,,Onyx Bold Nicaragua,JR Confidential Purple,H. Upmann 175th Anniversary,Four Kicks Capa Especial,Emperors Cut,H Upmann Vintage Cameroon
La Aroma de Cuba,J.C. Newman,Swisher,Swisher,,,OPUS X,JR Confidential Silver,H. Upmann 1844 Classic,Free Cuba,Emperors Cut,H. Upmann
Consuegra,J&R Famous,Swisher Sweets,,,,ORLEANS,JR Cuban Alternative,H. Upmann by AJ Fernandez,Fuente Fuente Opus X Lost City,EP Carrillo,H. Upmann 1844 Classic
Navarro,Jackpot,Tabacalera Palma,Tabacalera Palma,,,ORLEANS,JR Edicion Limitada Alternative,H. Upmann Connecticut,Game Cigars by Garcia y Vega,EP Carrillo Dusk,H. Upmann AJ Fernandez
Spag & Co.,Jaime Garcia,Tabacalera Palma Ready To Smoke Bundles,,,,OSCAR VALLADARES,JR Esteli Reserva,H. Upmann Herman's Batch The Banker,Game Leaf by Garcia y Vega,EP Carrillo Elite Seleccion Oscuro,H. Upmann Banker
Cusano,Jamon,Tabacos Baez,Tabacos Baez,,,PADRON,JR Master Series,H. Upmann Hispaniola by Jose Mendez,Garcia y Vega 1882,EP Carrillo Encore,H. Upmann Hispaniola By Jose Mendez
K-Cigars,JAS SUM KRAL,Tabacos Baez Serie S.F.,,,,Padron Anniversario Serie 1926,JR Special Corona,H. Upmann Nicaragua AJ Fernandez Heritage,Garcia y Vega Cigars,EP Carrillo Inch Limitada,H. Upmann Mogul
Torano,Jas Sum Kral,TABAK ESPECIAL,,,,Padron Anniversario Serie 1964,JR Tradicion Cigars,H. Upmann The Banker,General Grant,EP Carrillo Inch Maduro,H. Upmann Nicaragua AJ Fernandez Heritage
Mulberry Street Cigar Co.,Jas Sum Kral,Tabaquero by Hamlet Paredes,Tabaquero by Hamlet Paredes,,,Padron Damaso,JR Tradicion Dominicana,H. Upmann Vintage Cameroon,Gerant's Golden Siesta,EP Carrillo Inch Natural,Hamlet 25th Year
Iguana (Thompson),Java,TABERNACLE,,,,Padron Family Reserve,JR Tradicion Nicaragua,Henry Clay Cigars,Gilberto Oliva Reserva,EP Carrillo Interlude Maduro,Hamlet Liberation
Waller & Bengtsson,Java,TAINO,TAINO,,,PALIO,JR Ultimate,Henry Clay War Hawk,Gilberto Oliva Reserva Blanc,EP Carrillo Interlude Natural,Harvester & Co. Connecticut
El Tiante,JAVA BY DREW ESTATE,TAMBOR DOMINICANO,TAMBOR DOMINICANO,,,PALMA REAL,JR Ultimate 50th Anniversary,Herrera Esteli Habano,Gilberto Oliva Reserva Noir,EP Carrillo La Historia,Hav-A-Tampa
Factory Direct (Tesa Cigars),Java by Drew Estate,TAMPA TROLLEYS,TAMPA TROLLEYS,,,PANTER,JR Ultimate by Rocky Patel,Herrera Esteli Maduro,Gispert,EP Carrillo New Wave Connecticut,Havana Honeys Dominican
Ave Maria,JFR,Tatascan,Tatascan,,,PARODI,JSK Tyrannical Buc,Herrera Esteli Miami,Gispert Cigars,EP Carrillo Pledge,Havana Q By Quorum
La Unica,JFR,Tatiana,Tatiana,,,PARTAGAS,Kentucky,Herrera Esteli Norteno,God of Fire by Carlito,EP Carrillo Short Run,Headley Grange by Crowned Heads
Zino,JM Tobacco,TATIANA FLAVORED,,,,PARTAGAS,Kentucky Fire Cured,Hf Barcelona,God of Fire by Don Carlos,EP Carrillo Short Run,Helix
CDR,JM's,TATUAJE,TATUAJE,,,Partagas 1845 Clasico,Kentucky Fire Cured Swamp Thang,Highclere Castle Edwardian,God of Fire Serie Aniversario,EP Carrillo TAA,Henry Clay
Odyssey,JMS DOMINICAN,TE AMO,TE AMO,same,,Partagas 1845 Extra Fuerte,Kentucky Fire Cured Sweets,Highclere Castle Victorian,God of Fire Serie B,Epic,Henry Clay War Hawk
Fonseca,Jose Marti,Te-Amo,Te-Amo,same,,Partagas 1845 Extra Oscuro,King Edward,Hiram & Solomon CHABAL,Good Times Cigarillos,Epic Corojo Reserva,Herman's Batch The Banker By H. Upmann
Cigar.com,JOYA DE NICARAGUA,TEDS MADE BY HAND,TEDS MADE BY HAND,,,Partagas Black Label,King Edward Filtered Cigars,Hiram & Solomon Curamus,Good Times Cigarillos,Epic Habano,Herrera Esteli Brazilian Maduro
Royal Manna,Joya de Nicaragua,Temple Hall,Temple Hall,,,Partagas Cortado,Knuckle Sandwich,Hiram & Solomon Entered Apprentice,Good Times Country Man,Epic La Rubia,Herrera Esteli Habano
Jose Marti,Joya de Nicaragua,The American,,,,Partagas Decadas,Kristoff Cameroon,Hiram & Solomon Fellow Craft,Good Times Little N Wild,Epic Maduro Fuerte,Herrera Esteli Miami
Philosophy,Joya de Nicaragua,The Bourbon,The Bourbon,,,Partagas Heritage,Kristoff Cigars,Hiram & Solomon Grand Architect,Good Times Sweet Woods,Epic Maduro Reserva,Herrera Esteli Norteno
Marange,Joya de Nicaragua,The Circus,The Circus,,,Partagas Legend,Kristoff Classic Reserva,Hiram & Solomon Live To Serve,Gran Habano Cigars,Epic Project San Andres,Highclere Castle
Bagatelle (Thompson),JR Alternative,The Griffin's,The Griffin's,,,Partagas Yellow Box,Kristoff Connecticut,Hiram & Solomon Master Mason,Gran Habano #1 Connecticut,Espinosa,Highclere Castle Victorian
Vega del Tader,JR Confidential Bundles,THE HIVE,THE HIVE,,,PAUL GARMIRIAN,Kristoff Corojo Limitada,Hiram & Solomon Samplers,Gran Habano #3 Habano,Espinosa Azucar,Hoyo Dark Sumatra By AJ Fernandez
Pinar de Oro,JR Esteli Reserva,The Repeater,The Repeater,,,PDR,Kristoff GC Signature Series,Hiram & Solomon Shriner,Gran Habano #5 Corojo,Espinosa Crema,Hoyo de Monterrey
Punch (Cuban),JR Master Series,THE UPSETTERS,THE UPSETTERS,,,PDR 1878 Roast Cafe,Kristoff Habano,Hiram & Solomon Traveling Man,Gran Habano #5 Corojo Maduro,Espinosa Habano,Hoyo de Monterrey
Micallef,JR Special Corona,Tiparillo,Tiparillo,,,PDR 1878 Roast Cafe,Kristoff Kristania,Hit & Run by Booth & Caldwell,Gran Habano Minis,Espinosa Knuckle Sandwich Habano,Hoyo De Monterrey Epicure Seleccion
Common Roots,JR Tradicion,TOPPER,TOPPER,,,PDR 1878 Santiago,Kristoff Kristania Maduro,Hit & Run Part Deux by Booth & Caldwell,Gran Habano Vintage Connecticut 2004,Espinosa Knuckle Sandwich Maduro,Hoyo de Tradicion
La Palma,JR Ultimate,Topper Handmade,Topper Handmade,,,Pepper Cream Soda San Andres,Kristoff Ligero Criollo,Honduran Habanos Bundles,Gran Habano Vintage Corojo 2002,Espinosa Las 6 Provincias Limited,Hoyo La Amistad Black
Iconic Leaf Cigar Company,JRE Tobacco Co.,Torano,Torano,,,PERDOMO,Kristoff Ligero Maduro,House Blend Nicaraguan,Gran Habano Vintage Habano 2006,Espinosa Reggae,Hoyo La Amistad Gold
Good Times,JSK Tyrannical Buc,TORO DE ORO,TORO DE ORO,,,Perdomo 12 Year Vintage,Kristoff Original Criollo,House Blend Series H,Grand Marnier,Espinosa Wasabi,Hoyo La Amistad Silver
Pheasant,JUAN LOPEZ,TOSCANO,TOSCANO,,,Perdomo 20th Anniversary,Kristoff Original Maduro,House Handmades,Graycliff Cigars,Sensei's Sensational Sarsaparilla,HR Cigars
Escarabin,JUST PLEASURE,Trader Jack's,Trader Jack's,,,Perdomo ESV,Kristoff Pistoff,Hoyo De Monterrey,Graycliff 10 Year Vintage Maduro,Warzone,HR Claro
Emperor,KAFIE 1901,Trader Jack's Kickin',,,,Perdomo Fresco,Kristoff San Andres,Hoyo De Monterrey Excalibur,Graycliff 1666,Excalibur,HVC 10th Anniversary
Oxford,Kafie 1901,Trinidad,Trinidad,,,Perdomo Habano,Kristoff Sumatra,Hoyo De Monterrey Excalibur Cameroon,Graycliff Double Espresso Series,Excalibur,HVC 500 Years Anniversary
Ugly Coyote,Kentucky,Trinidad Espiritu,,,,Perdomo Habano Bourbon Barrel Aged,Kristoff Vengeance,Hoyo De Monterrey Excalibur Dark Knight,Graycliff G2,Excalibur 1066,HVC Black Friday
La Diva,King Edward,Trinidad y Cia,Trinidad y Cia,,,Perdomo Inmenso Seventy,L'Atelier,Hoyo La Amistad Black by AJ Fernandez,Graycliff G2 Habano,Excalibur 1066 Maduro,HVC Cerro Maduro
Cuban Style (Nat Cicco),KRISTOFF,TTT Trinidad Paradox,TTT Trinidad Paradox,,,Perdomo Lot 23,L'Atelier Cigars,Hoyo La Amistad Gold By AJ Fernandez,Graycliff G2 Maduro,Excalibur Black,HVC Cerro Natural
Tesa Colores,Kristoff,Tuscarora,Tuscarora,,,Perdomo Nicks Sticks,L'Atelier Extension de La Racine,Hoyo La Amistad Silver By AJ Fernandez,Graycliff Profesionale Series,Excalibur Maduro,HVC Company
Dominican Delicias,Kristoff,Uncharted,Uncharted,,,perdomo reserve 10th anniversary box~pressed ,L'Atelier Identite,HR Blue By Hirochi Robaina,Graycliff Turbo Edicion Limitada,Factory Smokes,HVC Edicion Especial 2015
Cosmo,Kristoff,Undercrown,Undercrown,"same as ""Liga Undercrown""",,Perdomo Reserve 10th Anniversary Champagne,L'Atelier Selection Speciale,HR Claro By Hirochi Robaina,Guardian of the Farm,Factory Smokes Maduro,HVC Edicion Especial 2018
Amendola Family Cigar Co.,Kristoff,United Cigar,United Cigar,,,PERLA DEL MAR,La Aroma de Cuba,HR Habano By Hirochi Robaina,Guardian of the Farm Nightwatch,Factory Smokes Shade,HVC First Selection Broadleaf Limited Edition
Orange Label,Kristoff,Untitled Project From Room 101 & Cigar Dojo,,,,Perritos by MJ Frias,La Aroma de Cuba Cigars,HVC 10th Anniversary,Gurkha 125th Anniversary,Factory Smokes Sun Grown,HVC Hot Cake
Don Abram Harris,L'Atelier,Valencia,Valencia,,,PHILLIES,La Aroma de Cuba Edicion Especial,HVC 500 Aniversario,Gurkha Archive,Factory Smokes Sweets,HVC Serie A
C.Gars Ltd,L'Atelier,VALLEJUELO,VALLEJUELO,,,Pistoff Kristoff,La Aroma de Cuba Mi Amor,HVC Black Friday,Gurkha Avenger G5,Factory Throwouts,Ilegal Connecticut
Java (by Drew Estate),L'Atelier,Vallejuelo Classic,,,,plasencia ,La Aroma de Cuba Mi Amor Reserva,HVC Cerro Maduro,Gurkha Beast,Factory Throwouts,Ilegal Habano
Gran Havana,L'Atelier,VEGA FINA,VEGA FINA,same,,Plasencia Alma Del Campo,La Aroma de Cuba Noblesse,HVC Cerro Natural,Gurkha Beauty,Ferio Tego,Ilegal San Andres
Dos Hombre,La Antiguedad,VegaFina,VegaFina,same,,Plasencia Alma Del Fuego,La Aroma de Cuba Pasión,HVC Edicion Especial 2015,Gurkha Black Dragon,Ferio Tego Limited Edition,Illusione
La Sirena,LA AROMA DE CUBA,Ventura,Ventura,,,plasencia alma fuerte ,La Aurora 107,HVC Edicion Especial 2018,Gurkha Black Ops Connecticut,Ferio Tego Limited Edition,Illusione
G. De Graaff,La Aroma de Cuba,Viaje,Viaje,,,plasencia cosecha 146 ,La Aurora 107 Nicaragua,HVC First Selection Broadleaf,Gurkha Black Ops Habano,Ferio Tego TAA Exclusive New,Illusione Classic Cruzado
Punch,La Aroma De Cuba,Victor Sinclair,Victor Sinclair,,,plasencia reserva original organica ,La Aurora 115th Anniversary,HVC Hot Cake,Gurkha Black Ops Maduro,Ferio Tego Timeless Panamericana,Illusione Epernay
Havana Star,La Aroma de Cuba,Villa Zamorano,Villa Zamorano,,,pledge by e.p. carrillo ,La Aurora Cigars,HVC La Rosa 520 Maduro,Gurkha Bourbon Collection,Ferio Tego Timeless Prestige,Illusione Fume D'Amour
Flor de Amor,La Aroma de Cuba,VILLIGER,VILLIGER,,,QUALITY,La Aurora Dominican ADN,HVC Pan Caliente,Gurkha Cellar Reserve,Ferio Tego Timeless Supreme,Illusione Garagiste
Cigar Station,La Aroma de Cuba,Viva La Vida,Viva La Vida,,,QUESADA,La Aurora Excepcionales,HVC San Isidro,Gurkha Cellar Reserve Edicion Especial,Fernando Leon Family,Illusione Haut 10
Diego Silang,LA AURORA,W & D Honduran Bundles,W & D Honduran Bundles,,,Quesada 40th Anniversary,La Aurora Preferidos,HVC Serie A,Gurkha Cellar Reserve Limitada,Fernando Leon Family Reserve,Illusione La Grande Classe
Crispin PatiÃ±o,La Aurora,WALL STREET,WALL STREET,,,Quesada Oktoberfest,La Barba Purple,HVC Vieja Cosecha,Gurkha Centurian Double Perfecto,Fernando Leon Limited Edition,Illusione OneOff
Class 34,La Aurora,Warfighter Tobacco,Warfighter Tobacco,,,Quesada Tributo,La Flor Dominicana Double Ligero,Illusione Allegria,Gurkha Chairman's Select,Flor de las Antillas,Immortal
Relic (by AJ Fernandez),La Aurora,WARPED,WARPED,,,QUINTERO,La Flor Dominicana Ligero,Illusione Cigares Prive,Gurkha Cigars,Flor de las Antillas,INCH By EPC
El Rey del Mundo,La Aurora,WHIFF INDUSTRIES,WHIFF INDUSTRIES,,,QUORUM,La Flor Dominicana Ligero Cabinet,Illusione Cruzado,Gurkha Class Regent,Flor de las Antillas Maduro,Indian Motorcycle
Honduras Caribbean,La Aurora,WHITE OWL,WHITE OWL,,,Quorum Maduro,La Flor Dominicana Oro,Illusione ECCJ,Gurkha Classic Havana,Flor de Oliva,Indian Motorcycle
Canonero,La Barba,Wildfire Cigar,Wildfire Cigar,,,Quorum Shade,La Flor Dominicana Reserva Especial,Illusione Epernay,Gurkha Crest,Flor de Oliva,Indian Motorcycle Shade
Carbonell,La Barba,William Penn,William Penn,,,RAMROD,La Fontana,Illusione Exclusive PCA,Gurkha Doble Maduro,Flor de Oliva Corojo,Indomina by AJ Fernandez
La Invicta,La Barba,Winchester Little,Winchester Little,,,REINADO,La Galera Cigars,Illusione Fume D'Amour,Gurkha Evil,Flor de Oliva Gold,Inferno
100% Dominican,La Boheme,Winston Churchill,Winston Churchill,,,RESERVA DE INEXPENSIVO,La Galera Connecticut,Illusione G Gigantes,Gurkha Ghost,Flor de Oliva Maduro,Inferno 3rd Degree
Emigrante,La Boheme,Witchdoktor,Witchdoktor,,,Reserva Dorado,La Galera Habano,Illusione Garagiste,Gurkha Ghost Gold,Flor de Selva,Inferno by Oliva
Navarre,LA CAPITANA,WYNWOOD HILLS,WYNWOOD HILLS,,,RHUM,La Galera Maduro,Illusione Haut 10,Gurkha Governor's Private Blend,Flor de Selva,Inferno Flashpoint
Hula Girls,La Cima,Xhaxhi Bobi,Xhaxhi Bobi,,,RICOS DOMINICANOS,La Gloria Cubana,Illusione Jeremy Pivens Collection,Gurkha Grand Age,Flor de Selva Coleccion Aniversario No. 20,Inferno Flashpoint Maduro
Total Flame,La Duena,ZINO,ZINO,,,RIGOLETTO,La Gloria Cubana Artesanos de Miami,Illusione La Grande Classe,Gurkha Grand Reserve,Flor de Selva Maduro,Inferno Melt
Joyitas,LA ESTRELLA CUBANA,Zino Nicaragua,,,,ROCKY PATEL,La Gloria Cubana Cigars,Illusione OneOff,Gurkha Hudson Bay,Florida Sun Grown by Drew Estate,Inferno Scorch
13th Floor,La Estrella Cubana,,,,,Rocky Patel 15th Anniversary,La Gloria Cubana Criollo De Oro,Illusione Original Documents Candela,Gurkha Legend,FSG 20 Acre Farm,Inferno Singe
Illusione,La Estrella Cubana,,,,,Rocky Patel Accessories,La Gloria Cubana Esteli,Illusione Original Documents Corojo,Gurkha Legend Vintage 2001,FSG by Drew Estate,Intemperance BA XXI
La Boheme,LA FINCA,,,,,Rocky Patel Accessories,La Gloria Cubana Medio Tiempo,Illusione Original Documents Maduro,Gurkha Master Select,Fonseca,Intemperance EC XVIII
El Triunfo,La Finca,,,,,Rocky Patel Catch 22,La Gloria Cubana Serie R,Illusione R Rothchildes,Gurkha Nicaragua Series,Fonseca by My Father,Intemperance Whiskey Rebellion 1794
Mursuli,LA FLOR DOMINICANA,,,,,Rocky Patel Cigar Smoking World Championship,La Gloria Cubana Serie R Black,Illusione Singulare,Gurkha Omen,Fonseca Nicaragua,Interlude By EPC
Rubirosa,La Flor Dominicana,,,,,Rocky Patel Decade,La Gloria Cubana Serie R Black Maduro,Illusione Ultra,Gurkha Pan American,Foundation,Iron Horse
Embassy,La Flor Dominicana,,,,,Rocky Patel Disciple,La Gloria Cubana Serie R Esteli,Indian Motorcycle Habano,Gurkha Park Avenue,Foundation Charter Oak Connecticut,Iron Horse Connecticut
H M (Humberto Mendoza),La Flor Dominicana,,,,,Rocky Patel Fifty Five,La Gloria Cubana Serie R Esteli Maduro,Integra Boost Humidification,Gurkha Park Avenue Habano,Foundation Charter Oak Habano,Isla Del Sol Maduro
La Caoba,La Flor Dominicana (LFD),,,,,Rocky Patel Freedom,La Palina Nicaragua Oscuro,Isla Del Sol,Gurkha Park Avenue Maduro,Foundation Charter Oak Maduro,Isla del Sol Sungrown
Esteban Carreras,La Floridita,,,,,Rocky Patel Grand Reserve,La Palina No. 1,Isla Del Sol Maduro,Gurkha Private Reserve,Foundation Menelik,Island Jim By Oscar
Espinosa,La Fontana,,,,,Rocky Patel Hamlet 2020,La Palina No. 2,Island Jim by Oscar,Gurkha Prize Fighter,Foundation The Upsetters,It's a Boy. It's a Girl.
Imperio Cubano,La Fontana,,,,,Rocky Patel LB1,La Palina Red Label,J. Fuego 777 Corojo,Gurkha Real,Highclere Castle Edwardian,J Train
Villa de Cuba,LA GALERA,,,,,Rocky Patel Number 6,La Primadora,J. Fuego 777 Zero,Gurkha Regatta,Foundry,J. Fuego
Carlos III,La Galera,,,,,Rocky Patel Quarter Century,La Unica,J. Fuego Americana,Gurkha Seduction,Foundry (FTC) Time Flies,J.C. Newman
La Reina,La Galera,,,,,Rocky Patel Royale,La Vieja Habana,J. Fuego Cigar Co. One & Done,Gurkha Sherpa Black,Foundry Chillin' Moose,J.C. Newman Accessories and Samplers
